id,commuters
RES_1083,1665
RES_1084,847
RES_1085,565
RES_1086,223
RES_1087,21
RES_1088,169
RES_1089,564
RES_1090,1780
RES_1091,994
RES_1092,114
RES_1093,161
RES_1094,7
RES_1095,95
RES_1096,328
RES_1097,861
RES_1098,1338
RES_1099,947
RES_1100,515
RES_1101,103
RES_1102,947
RES_1103,1691
RES_1104,1560
RES_1105,873
RES_1106,833
RES_1107,305
RES_1108,409
RES_1109,476
RES_1110,625
RES_1111,477
RES_1112,532
RES_1113,992
RES_1114,89
RES_1115,10
RES_1116,517
RES_1117,15
RES_1118,6
RES_1119,28
RES_1120,11
RES_1121,122
RES_1122,60
RES_1123,41
RES_1124,197
RES_1125,10
RES_1126,87
RES_1127,133
RES_1128,320
RES_1129,386
RES_1130,335
RES_1131,225
RES_1132,438
RES_1133,140
RES_1134,199
RES_1135,97
RES_1136,115
RES_1137,149
RES_1138,87
RES_1139,125
RES_1140,66
RES_1141,99
RES_1142,72
RES_1143,177
RES_1144,152
RES_1145,7
RES_1146,29
RES_1147,22
RES_1148,39
RES_1149,18
RES_1150,17
RES_1151,22
RES_1152,45
RES_1153,456
RES_1154,172
RES_1155,438
RES_1156,67
RES_1157,160
RES_1158,209
RES_1159,374
RES_1160,155
RES_1161,246
RES_1162,342
RES_1163,155
RES_1164,226
RES_1165,282
RES_1166,152
RES_1167,214
RES_1168,230
RES_1169,1221
RES_1170,611
RES_1171,660
RES_1172,148
RES_1173,48
RES_1174,622
RES_1175,458
RES_1176,33
RES_1177,194
RES_1178,172
RES_1179,352
RES_1180,244
RES_1181,330
RES_1182,135
RES_1183,945
RES_1184,125
RES_1185,765
RES_1186,647
RES_1187,168
RES_1188,28
RES_1189,241
RES_1190,49
RES_1191,13
RES_1192,88
RES_1193,176
RES_1194,437
RES_1195,562
RES_1196,134
RES_1197,237
RES_1198,92
RES_1199,727
RES_1200,452
RES_1201,691
RES_1202,401
RES_1203,316
RES_1204,387
RES_1205,312
RES_1206,311
RES_1207,147
RES_1208,54
RES_1209,95
RES_1210,281
RES_1211,663
RES_1212,131
RES_1213,510
RES_1214,181
RES_1215,215
RES_1216,659
RES_1217,144
RES_1218,898
RES_1219,155
RES_1220,226
RES_1221,1331
RES_1222,151
RES_1223,403
RES_1224,128
RES_1225,175
RES_1226,11
RES_1227,174
RES_1228,70
RES_1229,74
RES_1230,79
RES_1231,87
RES_1232,102
RES_1233,139
RES_1234,173
RES_1235,210
RES_1236,156
RES_1237,371
RES_1238,13
RES_1239,16
RES_1240,239
RES_1241,36
RES_1242,138
RES_1243,244
RES_1244,358
RES_1245,41
RES_1246,16
RES_1247,6
RES_1248,22
RES_1249,93
RES_1250,57
RES_1251,36
RES_1252,28
RES_1253,121
RES_1254,144
RES_1255,8
RES_1256,2
RES_1257,29
RES_1258,69
RES_1259,87
RES_1260,15
RES_1261,74
RES_1262,27
RES_1263,202
RES_1264,152
RES_1265,192
RES_1266,75
RES_1267,135
RES_1268,110
RES_1269,227
RES_1270,1
RES_1271,125
RES_1272,338
RES_1273,237
RES_1274,39
RES_1275,60
RES_1276,153
RES_1277,361
RES_1278,512
RES_1279,174
RES_1280,699
RES_1281,809
RES_1282,1729
RES_1283,436
RES_1284,111
RES_1285,338
RES_1286,123
RES_1287,497
RES_1288,679
RES_1289,667
RES_1290,662
RES_1291,182
RES_1292,137
RES_1293,460
RES_1294,688
RES_1295,273
RES_1296,807
RES_1297,303
RES_1298,1025
RES_1299,294
RES_1300,187
RES_1301,8
RES_1302,303
RES_1303,122
RES_1304,36
RES_1305,200
RES_1306,255
RES_1307,175
RES_1308,18
RES_1309,42
RES_1310,88
RES_1311,201
RES_1312,104
RES_1313,221
RES_1314,462
RES_1315,178
RES_1316,84
RES_1317,71
RES_1318,219
RES_1319,170
RES_1320,50
RES_1321,161
RES_1322,191
RES_1323,2
RES_1324,302
RES_1325,179
RES_1326,359
RES_1327,110
RES_1328,15
RES_1329,505
RES_1330,103
RES_1331,264
RES_1332,821
RES_1333,189
RES_1334,200
RES_1335,137
RES_1336,144
RES_1337,138
RES_1338,562
RES_1339,592
RES_1340,23
RES_1341,98
RES_1342,76
RES_1343,40
RES_1344,451
RES_1345,624
RES_1346,24
RES_1347,77
RES_1348,343
RES_1349,508
RES_1350,1
RES_1351,71
RES_1352,146
RES_1353,232
RES_1354,33
RES_1355,2
RES_1356,42
RES_1357,402
