id,municipality_code,municipality,bairro,residents,resident_workers,jobs,lon,lat
RES_0192,3300456,Belford Roxo,Municipal total,391,135,0,-43.341285,-22.7377509993267
RES_0193,3300456,Belford Roxo,Municipal total,614,197,0,-43.339298,-22.7383639993267
RES_0194,3300456,Belford Roxo,Municipal total,556,188,0,-43.331186,-22.7346139993268
RES_0195,3300456,Belford Roxo,Municipal total,3029,1009,0,-43.335028,-22.7243149993271
RES_0196,3300456,Belford Roxo,Municipal total,457,155,0,-43.333887,-22.7209989993271
RES_0197,3300456,Belford Roxo,Municipal total,2606,877,0,-43.330843,-22.7234339993271
RES_0198,3300456,Belford Roxo,Municipal total,4071,1347,0,-43.328774,-22.7189359993272
RES_0199,3300456,Belford Roxo,Municipal total,485,162,0,-43.323717,-22.7154259993273
RES_0200,3300456,Belford Roxo,Municipal total,140,47,0,-43.328355,-22.724179999327
RES_0201,3300456,Belford Roxo,Municipal total,1787,612,0,-43.337434,-22.7222329993271
RES_0202,3300456,Belford Roxo,Municipal total,956,328,0,-43.334592,-22.7151169993273
RES_0203,3300456,Belford Roxo,Municipal total,2376,788,0,-43.334552,-22.7117469993273
RES_0204,3300456,Belford Roxo,Municipal total,842,265,0,-43.332113,-22.7169759993272
RES_0205,3300456,Belford Roxo,Municipal total,6443,2123,0,-43.329457,-22.7104479993274
RES_0206,3300456,Belford Roxo,Municipal total,437,142,0,-43.324862,-22.7121839993273
RES_0207,3300456,Belford Roxo,Municipal total,1080,371,0,-43.325071,-22.7108509993274
RES_0208,3300456,Belford Roxo,Municipal total,355,125,0,-43.352365,-22.7097749993274
RES_0209,3300456,Belford Roxo,Municipal total,2960,956,0,-43.343793,-22.7099449993274
RES_0210,3300456,Belford Roxo,Municipal total,2367,777,0,-43.34216,-22.7048249993275
RES_0211,3300456,Belford Roxo,Municipal total,72,22,0,-43.342998,-22.6972789993277
RES_0212,3300456,Belford Roxo,Municipal total,4769,1552,0,-43.338122,-22.7097889993274
RES_0213,3300456,Belford Roxo,Municipal total,6021,1981,0,-43.337524,-22.7035819993275
RES_0214,3300456,Belford Roxo,Municipal total,1599,545,0,-43.331785,-22.7044859993275
RES_0215,3300456,Belford Roxo,Municipal total,852,296,0,-43.343594,-22.7015969993276
RES_0216,3300456,Belford Roxo,Municipal total,276,90,0,-43.345321,-22.7057119993275
RES_0217,3300456,Belford Roxo,Municipal total,21,6,0,-43.337651050000005,-22.700939149999996
RES_0218,3300456,Belford Roxo,Municipal total,158,48,0,-43.338501,-22.6996699993276
RES_0219,3300456,Belford Roxo,Municipal total,244,76,0,-43.33137685,-22.701716150000003
RES_0220,3300456,Belford Roxo,Municipal total,1367,445,0,-43.349897,-22.724689999327
RES_0221,3300456,Belford Roxo,Municipal total,3899,1260,0,-43.350759,-22.7197559993272
RES_0222,3300456,Belford Roxo,Municipal total,201,64,0,-43.348264,-22.7289779993269
RES_0223,3300456,Belford Roxo,Municipal total,5398,1806,0,-43.344526,-22.7239269993271
RES_0224,3300456,Belford Roxo,Municipal total,2243,772,0,-43.344882,-22.7177439993272
RES_0225,3300456,Belford Roxo,Municipal total,528,173,0,-43.344144,-22.7127949993273
RES_0226,3300456,Belford Roxo,Municipal total,921,311,0,-43.340047,-22.7226789993271
RES_0227,3300456,Belford Roxo,Municipal total,2618,857,0,-43.337561,-22.7187409993272
RES_0228,3300456,Belford Roxo,Municipal total,913,314,0,-43.342796,-22.727431999327
RES_0229,3300456,Belford Roxo,Municipal total,343,114,0,-43.347053,-22.7286159993269
RES_0230,3300456,Belford Roxo,Municipal total,165,53,0,-43.346806,-22.727596999327
RES_0231,3300456,Belford Roxo,Municipal total,1726,611,0,-43.366457,-22.7194269993272
RES_0232,3300456,Belford Roxo,Municipal total,12,4,0,-43.364764,-22.7159899993272
RES_0233,3300456,Belford Roxo,Municipal total,110,36,0,-43.364968,-22.6944609993277
RES_0234,3300456,Belford Roxo,Municipal total,2909,993,0,-43.359859,-22.7231809993271
RES_0235,3300456,Belford Roxo,Municipal total,2676,888,0,-43.359471,-22.7184939993272
RES_0236,3300456,Belford Roxo,Municipal total,509,168,0,-43.356372,-22.7088969993274
RES_0237,3300456,Belford Roxo,Municipal total,1405,462,0,-43.352048,-22.7304689993269
RES_0238,3300456,Belford Roxo,Municipal total,2279,766,0,-43.353328,-22.725390999327
RES_0239,3300456,Belford Roxo,Municipal total,2438,818,0,-43.353708,-22.7170309993272
RES_0240,3300456,Belford Roxo,Municipal total,2202,747,0,-43.351788,-22.7119039993273
RES_0241,3300456,Belford Roxo,Municipal total,564,180,0,-43.348274,-22.7311549993269
RES_0242,3300456,Belford Roxo,Municipal total,311,98,0,-43.347239,-22.7122679993273
RES_0243,3300456,Belford Roxo,Municipal total,423,138,0,-43.350301,-22.728599999327
RES_0244,3300456,Belford Roxo,Municipal total,773,265,0,-43.352508,-22.727960999327
RES_0245,3300456,Belford Roxo,Municipal total,2878,1006,0,-43.381357,-22.7185189993272
RES_0246,3300456,Belford Roxo,Municipal total,2873,1044,0,-43.376058,-22.7234779993271
RES_0247,3300456,Belford Roxo,Municipal total,3966,1339,0,-43.37759,-22.7179779993272
RES_0248,3300456,Belford Roxo,Municipal total,894,283,0,-43.377474,-22.7134009993273
RES_0249,3300456,Belford Roxo,Municipal total,3922,1268,0,-43.368942,-22.724747999327
RES_0250,3300456,Belford Roxo,Municipal total,1043,348,0,-43.359364,-22.7293509993269
RES_0251,3300456,Belford Roxo,Municipal total,2318,777,0,-43.361341,-22.725828999327
RES_0252,3300456,Belford Roxo,Municipal total,496,167,0,-43.366621,-22.7304199993269
RES_0253,3300456,Belford Roxo,Municipal total,1145,391,0,-43.365852,-22.725808999327
