id,municipality_code,population,cnefe_matched,dwelling_units,geo_level,old_lon,old_lat,lon,lat
RES_0752,3301850,541,True,256,1.0,-43.001098363645035,-22.660866400000003,-43.001772,-22.6614869993285
RES_0753,3301850,304,True,162,1.0,-43.000178500000004,-22.654527,-42.999955,-22.6541209993287
RES_0754,3301850,240,True,148,1.0,-43.0066856,-22.635752950000008,-43.006093,-22.6375179993291
RES_0755,3301850,273,True,232,1.0,-43.00232260265816,-22.607600599999998,-43.001924,-22.6077629993297
RES_0756,3301850,252,True,189,1.0,-43.002274858149605,-22.593044350000003,-43.003016,-22.5928049993301
RES_0757,3301850,427,True,297,1.0,-43.0034733739313,-22.582920550000004,-43.004981,-22.5831869993303
RES_0758,3301850,510,True,232,1.0,-43.00756472962114,-22.579720950000002,-43.007105,-22.5794309993304
RES_0759,3301850,516,True,259,1.0,-42.99686855,-22.66007739999999,-42.997104,-22.6607239993285
RES_0760,3301850,873,True,393,1.0,-42.993208366666664,-22.6574691,-42.993537,-22.6567179993286
RES_0761,3301850,423,True,225,1.0,-42.99464512251009,-22.64931815,-42.995333,-22.6501219993288
RES_0762,3301850,185,True,139,1.0,-42.99625835178004,-22.64335745,-42.996061,-22.6433169993289
RES_0763,3301850,7,True,4,1.0,-42.99712302805706,-22.623472650000004,-43.004328,-22.6243639993294
RES_0764,3301850,233,True,275,1.0,-42.9937994,-22.595408,-42.993278,-22.5948099993301
RES_0765,3301850,291,True,135,1.0,-42.998110747642855,-22.571588499999994,-42.998175,-22.5714739993306
RES_0766,3301850,476,True,306,1.0,-42.988474781678704,-22.6549469,-42.988748,-22.6546939993287
RES_0767,3301850,318,True,186,1.0,-42.98788824538913,-22.64387769999999,-42.987562,-22.6440649993289
RES_0768,3301850,10,True,6,1.0,-42.9771791,-22.6794542,-42.973185,-22.6769599993281
RES_0769,3301850,46,True,54,1.0,-42.978685350000006,-22.629543249999998,-42.978096,-22.6297689993292
RES_0770,3301850,360,True,257,1.0,-42.974004199999996,-22.635859599999996,-42.974631,-22.6342809993291
RES_0771,3301850,10,True,8,1.0,-42.970931750000005,-22.608961199999996,-42.990923,-22.6066239993298
RES_0772,3301850,278,True,170,1.0,-42.9650561,-22.641114849999994,-42.966162,-22.641826999329
RES_0773,3301850,20,True,23,1.0,-42.95730311077406,-22.577570750000003,-42.955313,-22.5765659993305
RES_0774,3301850,14,True,10,1.0,-42.9430794,-22.66659105,-42.950338,-22.683326999328
RES_0775,3301850,36,True,40,1.0,-42.93468047823583,-22.5916073,-42.936746,-22.5895969993302
RES_0776,3301850,30,True,12,1.0,-42.91791438766666,-22.582238099999998,-42.885128,-22.5747849993305
RES_0777,3301900,981,True,435,1.0,-42.868122236898984,-22.76198385,-42.867439,-22.7614269993262
RES_0778,3301900,387,True,172,1.0,-42.86563475,-22.756863850000002,-42.865623,-22.7566409993263
RES_0779,3301900,4248,True,1891,1.0,-42.860978576671585,-22.763583149999995,-42.862149,-22.7621729993262
RES_0780,3301900,3886,True,1834,1.0,-42.862065050000005,-22.754626549999998,-42.861032,-22.7551589993263
RES_0781,3301900,194,True,96,1.0,-42.863604346179365,-22.751283349999994,-42.863657,-22.7513679993264
RES_0782,3301900,2325,True,1050,1.0,-42.85192677306338,-22.7604412,-42.853748,-22.7613269993262
RES_0783,3301900,2528,True,1239,1.0,-42.854886151950936,-22.756654549999993,-42.855676,-22.7559679993263
RES_0784,3301900,283,True,171,1.0,-42.86444565000001,-22.7518281,-42.864479,-22.7516019993264
RES_0785,3301900,252,True,48,1.0,-42.86796555,-22.7580875,-42.865804,-22.7562089993263
RES_0786,3301900,609,True,302,1.0,-42.85905344549424,-22.7238144,-42.85946,-22.7236519993271
RES_0787,3301900,936,True,212,1.0,-42.86087515,-22.717924899999993,-42.857958,-22.7223819993271
RES_0788,3301900,299,False,0,,-42.8632092,-22.715104399999994,-42.8632092,-22.715104399999994
RES_0789,3301900,2907,True,1426,2.0,-42.85186609812489,-22.73111505,-42.851636,-22.7311039993269
RES_0790,3301900,2798,True,1237,1.0,-42.8549391,-22.724838899999995,-42.854536,-22.726775999327
RES_0791,3301900,158,True,64,1.0,-42.849123404986145,-22.732406499999996,-42.850878,-22.7335319993268
RES_0792,3301900,510,True,128,3.0,-42.87731345394232,-22.788031949999997,-42.876858,-22.7869419993256
RES_0793,3301900,497,True,271,1.0,-42.8661172902833,-22.786982549999998,-42.865694,-22.7866089993256
RES_0794,3301900,525,True,363,1.0,-42.89201843974033,-22.762276899999996,-42.891831,-22.7624879993262
RES_0795,3301900,19,True,12,1.0,-42.88556495,-22.767716549999996,-42.885022,-22.7671179993261
RES_0796,3301900,1377,True,1003,1.0,-42.888039499180906,-22.759553150000006,-42.888835,-22.7609259993262
RES_0797,3301900,466,True,233,1.0,-42.866422,-22.7744185,-42.859006,-22.771317999326
RES_0798,3301900,802,True,449,1.0,-42.86448048882643,-22.77915159999999,-42.86417,-22.7797879993258
RES_0799,3301900,645,True,308,1.0,-42.8495632,-22.77361225,-42.850938,-22.7734529993259
RES_0800,3301900,1608,True,750,1.0,-42.8528079,-22.77248805,-42.852916,-22.770216999326
RES_0801,3301900,15,True,5,1.0,-42.83976415,-22.784304650000003,-42.83859,-22.7806249993258
RES_0802,3301900,620,True,339,1.0,-42.841146550000005,-22.76534445,-42.839352,-22.7646519993261
RES_0803,3301900,74,True,47,1.0,-42.82701075,-22.7730088,-42.823007,-22.7771029993258
RES_0804,3301900,57,True,31,1.0,-42.821117150000006,-22.759541400000003,-42.821356,-22.7629129993262
RES_0805,3301900,532,True,286,1.0,-42.874791512963895,-22.710539250000004,-42.874823,-22.7104399993274
RES_0806,3301900,397,True,201,1.0,-42.869115300000004,-22.71349395,-42.869413,-22.7134709993273
RES_0807,3301900,152,True,74,1.0,-42.864611265980656,-22.713260750000007,-42.864863,-22.7135669993273
RES_0808,3301900,866,True,444,1.0,-42.82791425379604,-22.7396802,-42.827344,-22.7392199993267
RES_0809,3301900,925,True,447,1.0,-42.82890523340962,-22.734335099999996,-42.827931,-22.7340849993268
RES_0810,3301900,369,True,166,1.0,-42.824994849999996,-22.733939499999998,-42.825072,-22.7336739993268
RES_0811,3301900,707,True,333,1.0,-42.82781315,-22.730331449999994,-42.827552,-22.7302589993269
RES_0812,3301900,7113,True,3551,1.0,-42.83251075,-22.727517999999996,-42.831916,-22.724911999327
RES_0813,3301900,566,True,268,1.0,-42.828033000000005,-22.718176149999998,-42.828353,-22.7188239993272
RES_0814,3301900,509,True,224,1.0,-42.82353615,-22.729430549999996,-42.823519,-22.7293899993269
RES_0815,3301900,3971,True,1728,1.0,-42.82378639672581,-22.72364675,-42.823346,-22.724917999327
RES_0816,3301900,1782,True,791,1.0,-42.82268729662162,-22.7165044,-42.823574,-22.7175999993272
RES_0817,3301900,222,True,113,1.0,-42.82209115409505,-22.7147159,-42.822352,-22.7144999993273
RES_0818,3301900,4,True,6,1.0,-42.82697932881782,-22.75020385,-42.826594,-22.7497389993265
RES_0819,3301900,197,True,79,1.0,-42.82565545364146,-22.748632800000003,-42.825409,-22.7487199993265
RES_0820,3301900,1781,True,885,1.0,-42.86175705253518,-22.747075649999992,-42.861,-22.7468099993265
RES_0821,3301900,1775,True,787,1.0,-42.862430599999996,-22.742656299999993,-42.862485,-22.7435129993266
RES_0822,3301900,1193,True,642,1.0,-42.8541927019518,-22.746289949999998,-42.854602,-22.7470749993265
RES_0823,3301900,470,True,258,1.0,-42.855526419508145,-22.743955850000006,-42.85574,-22.7432239993266
RES_0824,3301900,434,True,184,1.0,-42.822141800000004,-22.731657649999995,-42.822102,-22.7326249993269
RES_0825,3301900,1130,True,533,1.0,-42.8669117,-22.7202339,-42.867015,-22.7196059993272
RES_0826,3301900,291,True,152,1.0,-42.86450065983749,-22.728712949999995,-42.864389,-22.728678999327
RES_0827,3301900,3426,True,1614,1.0,-42.85147162999002,-22.7401214,-42.85322,-22.7402119993267
RES_0828,3301900,55,True,26,1.0,-42.853869849999995,-22.736971599999993,-42.853809,-22.7369399993268
RES_0829,3301900,2344,True,990,1.0,-42.88479294257385,-22.7468202,-42.884014,-22.7472449993265
RES_0830,3301900,2722,True,1130,1.0,-42.882481792849006,-22.742409549999994,-42.883282,-22.7415019993267
RES_0831,3301900,16,True,7,1.0,-42.888193400000006,-22.736308049999998,-42.885592,-22.7336149993268
RES_0832,3301900,705,True,336,1.0,-42.880357883771225,-22.745823349999995,-42.88017,-22.7457789993266
RES_0833,3301900,348,True,177,1.0,-42.879405543711556,-22.743782250000002,-42.879293,-22.7438189993266
RES_0834,3301900,223,True,121,1.0,-42.85039820826539,-22.736589450000004,-42.851091,-22.7358949993268
RES_0835,3301900,1006,True,477,1.0,-42.84695900878968,-22.739633849999993,-42.846957,-22.7394209993267
RES_0836,3301900,1101,True,512,1.0,-42.849058,-22.736301100000006,-42.848364,-22.7355789993268
RES_0837,3301900,2897,True,1370,1.0,-42.85137670652375,-22.753160399999995,-42.852361,-22.7534529993264
RES_0838,3301900,1261,True,647,1.0,-42.8518619,-22.750590799999998,-42.851595,-22.7493239993265
