origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3301801,3303609,134.23753731509152,,1.846190450350799,3,1.153809549649201,"historical 2010 survey prior, adjusted to modeled margins",3,0,-131.23753731509152,-97.76515566360683
3301801,3303906,0.0,,2.233663601426319e-11,0,-2.233663601426319e-11,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3304003,18.6655828527888,,0.1094304838093348,2,1.890569516190665,"historical 2010 survey prior, adjusted to modeled margins",2,0,-16.6655828527888,-89.28509216254567
3301801,3304144,0.0,,0.0001045807593379,0,-0.0001045807593379,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3304409,0.0,,4.748496971669076e-09,0,-4.748496971669076e-09,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3304557,291.85157589249485,,4.179485693231229,1,-3.1794856932312294,"historical 2010 survey prior, adjusted to modeled margins",1,0,-290.85157589249485,-99.65736008210956
3301801,3304904,0.0,,0.0005999716958846,0,-0.0005999716958846,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3305109,14.9260028959928,,0.2136460688724235,1,0.7863539311275765,"historical 2010 survey prior, adjusted to modeled margins",1,0,-13.9260028959928,-93.30028268808343
3301801,3305554,5.1033477036813,,0.0730251808719022,1,0.9269748191280978,"historical 2010 survey prior, adjusted to modeled margins",1,0,-4.1033477036813,-80.40501925278087
3301850,3300456,0.0,,0.0267203728492192,0,-0.0267203728492192,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3300803,141.6798939163049,,1.3161121487863383,64,62.68388785121366,"historical 2010 survey prior, adjusted to modeled margins",64,0,-77.6798939163049,-54.82774709175957
3301850,3301702,381.1742624354014,,74.76100478894287,81,6.23899521105713,"historical 2010 survey prior, adjusted to modeled margins",81,0,-300.1742624354014,-78.74987689817402
3301850,3301801,0.0,,8.298435335055273e-08,0,-8.298435335055273e-08,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3301850,12026.404388500872,,2173.1059335460905,2173,-0.1059335460904549,2022 local containment,2173,0,-9853.404388500872,-81.93142414138569
3301850,3301900,145.75666663636213,,26.79051567720655,62,35.20948432279345,"historical 2010 survey prior, adjusted to modeled margins",62,0,-83.75666663636213,-57.46335215343573
3301850,3302007,0.0,,0.0131471130594117,0,-0.0131471130594117,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302270,0.0,,0.0061118964507303,0,-0.0061118964507303,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302502,1452.4032471961066,,276.1759999052267,400,123.82400009477328,"historical 2010 survey prior, adjusted to modeled margins",400,0,-1052.4032471961066,-72.45943915560585
3301850,3302601,0.0,,1.8455092163715886e-07,0,-1.8455092163715886e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302700,0.0,,0.0036293499563855,0,-0.0036293499563855,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302858,0.0,,0.0094687017168519,0,-0.0094687017168519,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3302908,0.0,,8.689336720480094e-09,0,-8.689336720480094e-09,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3303203,0.0,,0.0093619775140047,0,-0.0093619775140047,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3303302,410.7618918711249,,80.6168346930883,40,-40.61683469308829,"historical 2010 survey prior, adjusted to modeled margins",40,0,-370.7618918711249,-90.26199830325307
3301850,3303500,10.4378593840025,,2.099176993877436,0,-2.099176993877436,"historical 2010 survey prior, adjusted to modeled margins",0,0,-10.4378593840025,-99.99999999999999
3301850,3303609,0.0,,0.0043363865162343,0,-0.0043363865162343,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3303906,31.8678990680511,,0.0012292894077799,0,-0.0012292894077799,"historical 2010 survey prior, adjusted to modeled margins",0,0,-31.8678990680511,-100.0
3301850,3304003,0.0,,0.0007681132091706,0,-0.0007681132091706,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3304144,0.0,,0.009531250393778,0,-0.009531250393778,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3304409,0.0,,4.327671162229425e-07,0,-4.327671162229425e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301850,3304557,2990.3477966670257,,587.2224556862726,437,-150.2224556862726,"historical 2010 survey prior, adjusted to modeled margins",437,0,-2553.3477966670257,-85.38631524777585
