id,municipality_code,population,census_worker_estimate,employed_pnad_calibrated,non_employed_estimated
RES_5400,3304557,523,233,262,261
RES_5401,3304557,1023,447,503,520
RES_5402,3304557,168,71,80,88
RES_5403,3304557,141,62,70,71
RES_5404,3304557,438,166,187,251
RES_5405,3304557,429,195,219,210
RES_5406,3304557,1077,470,529,548
RES_5407,3304557,109,52,59,50
RES_5408,3304557,1008,447,503,505
RES_5409,3304557,1759,794,893,866
RES_5410,3304557,83,35,39,44
RES_5411,3304557,244,109,123,121
RES_5412,3304557,800,363,408,392
RES_5413,3304557,326,153,172,154
RES_5414,3304557,457,203,228,229
RES_5415,3304557,384,180,203,181
RES_5416,3304557,2558,1153,1297,1261
RES_5417,3304557,810,369,415,395
RES_5418,3304557,276,121,136,140
RES_5419,3304557,1068,468,527,541
RES_5420,3304557,2365,1023,1151,1214
RES_5421,3304557,444,186,209,235
RES_5422,3304557,1456,597,672,784
RES_5423,3304557,785,322,362,423
RES_5424,3304557,1292,565,636,656
RES_5425,3304557,1048,459,516,532
RES_5426,3304557,5781,2730,3072,2709
RES_5427,3304557,6214,2983,3356,2858
RES_5428,3304557,723,346,389,334
RES_5429,3304557,363,161,181,182
RES_5430,3304557,1073,507,570,503
RES_5431,3304557,3199,1508,1697,1502
RES_5432,3304557,6559,3134,3526,3033
RES_5433,3304557,93,44,50,43
RES_5434,3304557,312,142,160,152
RES_5435,3304557,432,191,215,217
RES_5436,3304557,1208,576,648,560
RES_5437,3304557,2988,1374,1546,1442
RES_5438,3304557,758,345,388,370
RES_5439,3304557,617,281,316,301
RES_5440,3304557,438,204,230,208
RES_5441,3304557,1652,740,833,819
RES_5442,3304557,913,429,483,430
RES_5443,3304557,3317,1571,1768,1549
RES_5444,3304557,1170,562,632,538
RES_5445,3304557,1049,482,542,507
RES_5446,3304557,426,194,218,208
RES_5447,3304557,500,243,273,227
RES_5448,3304557,780,362,407,373
RES_5449,3304557,1642,831,935,707
RES_5450,3304557,1874,902,1015,859
RES_5451,3304557,565,257,289,276
RES_5452,3304557,4292,2020,2273,2019
RES_5453,3304557,2462,1142,1285,1177
RES_5454,3304557,4,2,2,2
RES_5455,3304557,1283,581,654,629
RES_5456,3304557,4733,2164,2435,2298
RES_5457,3304557,5921,2699,3037,2884
RES_5458,3304557,4555,2053,2310,2245
RES_5459,3304557,295,135,152,143
RES_5460,3304557,640,305,343,297
RES_5461,3304557,321,147,165,156
RES_5462,3304557,1718,789,888,830
RES_5463,3304557,2128,986,1109,1019
RES_5464,3304557,2786,1281,1441,1345
RES_5465,3304557,3431,1551,1745,1686
RES_5466,3304557,8,4,4,4
RES_5467,3304557,7,3,3,4
RES_5468,3304557,1152,564,635,517
RES_5469,3304557,435,201,226,209
RES_5470,3304557,2262,1066,1199,1063
RES_5471,3304557,493,241,271,222
RES_5472,3304557,97,42,47,50
RES_5473,3304557,1556,705,793,763
RES_5474,3304557,2884,1346,1515,1369
RES_5475,3304557,801,390,439,362
RES_5476,3304557,1968,908,1022,946
RES_5477,3304557,1165,524,590,575
RES_5478,3304557,448,212,239,209
RES_5479,3304557,836,394,443,393
RES_5480,3304557,1293,632,711,582
RES_5481,3304557,4153,1995,2245,1908
RES_5482,3304557,919,442,497,422
RES_5483,3304557,92,51,57,35
RES_5484,3304557,751,355,399,352
RES_5485,3304557,480,273,307,173
RES_5486,3304557,740,344,387,353
RES_5487,3304557,253,111,125,128
RES_5488,3304557,136,58,65,71
RES_5489,3304557,79,34,38,41
RES_5490,3304557,1464,683,769,695
RES_5491,3304557,1021,477,537,484
RES_5492,3304557,544,318,358,186
RES_5493,3304557,234,100,113,121
RES_5494,3304557,147,64,72,75
RES_5495,3304557,1131,528,594,537
RES_5496,3304557,1827,967,1088,739
RES_5497,3304557,100,43,48,52
RES_5498,3304557,326,149,168,158
RES_5499,3304557,409,197,222,187
RES_5500,3304557,804,372,419,385
RES_5501,3304557,285,123,138,147
RES_5502,3304557,1401,644,725,676
RES_5503,3304557,502,238,268,234
RES_5504,3304557,160,73,82,78
RES_5505,3304557,226,104,117,109
RES_5506,3304557,1050,470,529,521
RES_5507,3304557,509,242,272,237
RES_5508,3304557,493,229,258,235
RES_5509,3304557,302,132,149,153
RES_5510,3304557,340,158,178,162
RES_5511,3304557,485,197,222,263
RES_5512,3304557,1027,458,515,512
RES_5513,3304557,463,214,241,222
RES_5514,3304557,60,28,31,29
RES_5515,3304557,61,27,30,31
RES_5516,3304557,515,245,276,239
RES_5517,3304557,263,124,140,123
RES_5518,3304557,1539,729,820,719
RES_5519,3304557,172,83,93,79
RES_5520,3304557,2443,1096,1233,1210
RES_5521,3304557,883,389,438,445
RES_5522,3304557,306,140,158,148
RES_5523,3304557,220,106,119,101
RES_5524,3304557,68,30,34,34
RES_5525,3304557,882,404,455,427
RES_5526,3304557,1407,655,737,670
RES_5527,3304557,590,270,304,286
RES_5528,3304557,448,201,226,222
RES_5529,3304557,511,223,251,260
RES_5530,3304557,680,304,342,338
RES_5531,3304557,194,92,104,90
RES_5532,3304557,369,175,197,172
RES_5533,3304557,117,53,60,57
RES_5534,3304557,170,79,89,81
RES_5535,3304557,136,66,74,62
RES_5536,3304557,253,129,145,108
RES_5537,3304557,2297,1048,1179,1118
RES_5538,3304557,180,78,88,92
RES_5539,3304557,227,107,120,107
RES_5540,3304557,299,141,159,140
RES_5541,3304557,234,107,120,114
RES_5542,3304557,988,458,515,473
RES_5543,3304557,365,165,186,179
RES_5544,3304557,513,238,268,245
RES_5545,3304557,1499,672,756,743
RES_5546,3304557,379,175,197,182
RES_5547,3304557,2605,1213,1365,1240
RES_5548,3304557,540,266,299,241
RES_5549,3304557,343,155,174,169
RES_5550,3304557,1671,836,941,730
RES_5551,3304557,5145,2530,2847,2298
RES_5552,3304557,1574,763,859,715
RES_5553,3304557,812,376,423,389
RES_5554,3304557,334,161,181,153
RES_5555,3304557,158,82,92,66
RES_5556,3304557,692,301,339,353
RES_5557,3304557,176,79,89,87
RES_5558,3304557,151,64,72,79
RES_5559,3304557,212,88,99,113
RES_5560,3304557,267,121,136,131
RES_5561,3304557,1014,450,506,508
RES_5562,3304557,217,91,102,115
RES_5563,3304557,538,240,270,268
RES_5564,3304557,475,217,244,231
RES_5565,3304557,396,179,201,195
RES_5566,3304557,458,204,230,228
RES_5567,3304557,336,151,170,166
RES_5568,3304557,353,172,194,159
RES_5569,3304557,1037,461,519,518
RES_5570,3304557,428,168,189,239
RES_5571,3304557,665,272,306,359
RES_5572,3304557,1903,846,952,951
RES_5573,3304557,3407,1469,1653,1754
RES_5574,3304557,1387,630,709,678
RES_5575,3304557,2688,1167,1313,1375
RES_5576,3304557,1472,663,746,726
RES_5577,3304557,1206,628,707,499
RES_5578,3304557,3887,1650,1857,2030
RES_5579,3304557,2093,931,1048,1045
RES_5580,3304557,237,93,105,132
RES_5581,3304557,3844,1624,1827,2017
RES_5582,3304557,1653,735,827,826
RES_5583,3304557,646,282,317,329
RES_5584,3304557,661,299,336,325
RES_5585,3304557,1918,839,944,974
RES_5586,3304557,361,161,181,180
RES_5587,3304557,3872,1701,1914,1958
RES_5588,3304557,533,223,251,282
RES_5589,3304557,508,233,262,246
RES_5590,3304557,166,81,91,75
RES_5591,3304557,586,266,299,287
RES_5592,3304557,144,62,70,74
RES_5593,3304557,1693,749,843,850
RES_5594,3304557,4378,1884,2120,2258
RES_5595,3304557,286,116,131,155
RES_5596,3304557,852,393,442,410
RES_5597,3304557,1109,508,572,537
RES_5598,3304557,210,101,114,96
RES_5599,3304557,3669,1591,1790,1879
RES_5600,3304557,1770,723,814,956
RES_5601,3304557,1862,947,1066,796
RES_5602,3304557,6431,3075,3460,2971
RES_5603,3304557,2847,1400,1575,1272
RES_5604,3304557,1288,651,733,555
RES_5605,3304557,401,218,245,156
RES_5606,3304557,871,418,470,401
RES_5607,3304557,139,69,78,61
RES_5608,3304557,1325,552,621,704
RES_5609,3304557,8267,3547,3991,4276
RES_5610,3304557,4546,1987,2236,2310
