id,municipality_code,census_population,age_15_59_measured_or_suppression_proxy,census_municipal_employment_calibrated
RES_0406,3301702,334,204.0,127
RES_0407,3301702,1928,1195.0,742
RES_0408,3301702,827,557.0,346
RES_0409,3301702,544,377.0,234
RES_0410,3301702,883,544.0,338
RES_0411,3301702,1200,834.0,518
RES_0412,3301702,1688,1048.0,651
RES_0413,3301702,1376,871.0,541
RES_0414,3301702,795,546.0,339
RES_0415,3301702,926,588.0,365
RES_0416,3301702,4542,2896.0,1798
RES_0417,3301702,6227,3936.0,2444
RES_0418,3301702,986,624.0,387
RES_0419,3301702,4663,2954.0,1834
RES_0420,3301702,2780,1765.0,1096
RES_0421,3301702,1149,708.0,440
RES_0422,3301702,472,289.0,179
RES_0423,3301702,1559,1002.0,622
RES_0424,3301702,88,57.0,35
RES_0425,3301702,757,499.0,310
RES_0426,3301702,1393,930.0,577
RES_0427,3301702,85,59.0,37
RES_0428,3301702,1107,710.0,441
RES_0429,3301702,802,552.0,343
RES_0430,3301702,271,168.0,104
RES_0431,3301702,222,138.0,86
RES_0432,3301702,4317,2719.0,1688
RES_0433,3301702,725,456.0,283
RES_0434,3301702,4385,2844.0,1766
RES_0435,3301702,6029,3960.0,2459
RES_0436,3301702,280,170.48179700086752,106
RES_0437,3301702,5252,3421.0,2124
RES_0438,3301702,1844,1178.0,731
RES_0439,3301702,845,555.0,345
RES_0440,3301702,359,231.0,143
RES_0441,3301702,940,611.0,379
RES_0442,3301702,551,340.0,211
RES_0443,3301702,254,152.0,94
RES_0444,3301702,1427,967.0,600
RES_0445,3301702,174,110.0,68
RES_0446,3301702,6142,3920.0,2434
RES_0447,3301702,982,688.0,427
RES_0448,3301702,7297,4785.0,2971
RES_0449,3301702,2528,1656.0,1028
RES_0450,3301702,1054,693.0,430
RES_0451,3301702,4313,2777.0,1724
RES_0452,3301702,3070,2043.0,1269
RES_0453,3301702,626,381.0,237
RES_0454,3301702,1461,925.0,574
RES_0455,3301702,875,550.0,342
RES_0456,3301702,1338,896.0,556
RES_0457,3301702,349,231.0,143
RES_0458,3301702,414,268.0,166
RES_0459,3301702,571,377.0,234
RES_0460,3301702,805,537.0,333
RES_0461,3301702,1395,904.0,561
RES_0462,3301702,1940,1269.0,788
RES_0463,3301702,1284,839.0,521
RES_0464,3301702,339,208.0,129
RES_0465,3301702,3328,2167.0,1346
RES_0466,3301702,1125,694.0,431
RES_0467,3301702,217,131.0,81
RES_0468,3301702,315,200.0,124
RES_0469,3301702,119,84.0,52
RES_0470,3301702,374,231.0,143
RES_0471,3301702,613,384.0,238
RES_0472,3301702,3508,2276.0,1413
RES_0473,3301702,147,95.0,59
RES_0474,3301702,503,338.0,210
RES_0475,3301702,181,124.0,77
RES_0476,3301702,478,300.0,186
RES_0477,3301702,163,101.0,63
RES_0478,3301702,739,480.0,298
RES_0479,3301702,338,215.0,134
RES_0480,3301702,38,24.395632668236463,15
RES_0481,3301702,1574,1063.0,660
RES_0482,3301702,1291,834.0,518
RES_0483,3301702,2050,1265.0,785
RES_0484,3301702,2095,1304.0,810
RES_0485,3301702,1140,769.0,477
RES_0486,3301702,1413,943.0,586
RES_0487,3301702,263,178.0,111
RES_0488,3301702,1114,716.0,445
RES_0489,3301702,2650,1697.0,1054
RES_0490,3301702,2032,1340.0,832
RES_0491,3301702,377,243.0,151
RES_0492,3301702,242,157.0,98
RES_0493,3301702,270,176.0,109
RES_0494,3301702,1525,1008.0,626
RES_0495,3301702,2075,1414.0,878
RES_0496,3301702,1235,837.0,520
RES_0497,3301702,1150,737.0,458
RES_0498,3301702,523,348.0,216
RES_0499,3301702,3595,2367.0,1470
RES_0500,3301702,4299,2828.0,1756
RES_0501,3301702,707,521.0,324
RES_0502,3301702,2452,1629.0,1011
RES_0503,3301702,1018,710.0,441
RES_0504,3301702,5435,3654.0,2269
RES_0505,3301702,5104,3223.0,2001
RES_0506,3301702,2869,1861.0,1156
RES_0507,3301702,3724,2415.0,1500
RES_0508,3301702,4221,2742.0,1703
RES_0509,3301702,338,202.0,125
RES_0510,3301702,153,95.0,59
RES_0511,3301702,3323,2208.0,1371
RES_0512,3301702,240,142.0,88
RES_0513,3301702,1182,753.0,468
RES_0514,3301702,5419,3533.0,2194
RES_0515,3301702,948,599.0,372
RES_0516,3301702,777,505.0,314
RES_0517,3301702,2794,1822.0,1131
RES_0518,3301702,3707,2500.0,1552
RES_0519,3301702,5372,3487.0,2165
RES_0520,3301702,4412,2861.0,1776
RES_0521,3301702,2644,1658.0,1029
RES_0522,3301702,1188,742.0,461
RES_0523,3301702,4035,2654.0,1648
RES_0524,3301702,4338,2785.0,1729
RES_0525,3301702,2968,1933.0,1200
RES_0526,3301702,2554,1608.0,998
RES_0527,3301702,5667,3604.0,2238
RES_0528,3301702,2019,1288.0,800
RES_0529,3301702,701,440.0,273
RES_0530,3301702,438,285.0,177
RES_0531,3301702,1320,820.0,509
RES_0532,3301702,403,262.0,163
RES_0533,3301702,131,86.0,53
RES_0534,3301702,325,202.0,125
RES_0535,3301702,1176,707.0,439
RES_0536,3301702,312,202.0,125
RES_0537,3301702,1531,993.0,617
RES_0538,3301702,419,262.0,163
RES_0539,3301702,761,478.0,297
RES_0540,3301702,1411,946.0,587
RES_0541,3301702,788,482.0,299
RES_0542,3301702,2045,1303.0,809
RES_0543,3301702,2742,1779.0,1105
RES_0544,3301702,80,48.0,30
RES_0545,3301702,563,379.0,235
RES_0546,3301702,645,429.0,266
RES_0547,3301702,74,53.0,33
RES_0548,3301702,580,354.0,220
RES_0549,3301702,412,278.0,173
RES_0550,3301702,2163,1432.0,889
RES_0551,3301702,1448,976.0,606
RES_0552,3301702,616,407.0,253
RES_0553,3301702,2931,1928.0,1197
RES_0554,3301702,3095,2017.0,1252
RES_0555,3301702,423,263.0,163
RES_0556,3301702,1912,1213.0,753
RES_0557,3301702,584,371.0,230
RES_0558,3301702,768,547.0,340
RES_0559,3301702,712,438.0,272
RES_0560,3301702,1019,649.0,403
RES_0561,3301702,1237,755.0,469
