municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3304557,Rio de Janeiro,Jardim Guanabara,27084,10251,5341,0.19720129966031605,3.205890691344464,1665.9956667955291,8448.198209977552
3304557,Rio de Janeiro,Jardim Sulacap,13651,5470,3303,0.24196029594901472,7.869225308679433,419.7363616412058,1734.732386546806
3304557,Rio de Janeiro,Joá,983,403,331,0.3367243133265514,1.6896957888947284,195.8932502379705,581.7615256311933
3304557,Rio de Janeiro,Lagoa,17786,6134,5664,0.3184527156190262,5.109906834981453,1108.435081678071,3480.689682684705
3304557,Rio de Janeiro,Laranjeiras,39982,14902,0,0.0,2.493514034292462,0.0,16034.399425927011
3304557,Rio de Janeiro,Leblon,37709,12901,17335,0.4597045798085338,2.153101652745024,8051.175836449397,17513.80384289993
3304557,Rio de Janeiro,Leme,12244,4571,5685,0.4643090493302842,0.9772016425635611,5817.632464356224,12529.655566152613
3304557,Rio de Janeiro,Lins de Vasconcelos,30910,12247,2783,0.0900355871886121,2.6692047082326518,1042.6326581158683,11580.228337176242
3304557,Rio de Janeiro,Madureira,39888,15412,34468,0.8641195346971521,3.7876234263731785,9100.165491637767,10531.141961542511
3304557,Rio de Janeiro,Magalhães Bastos,20636,8138,10153,0.4920042643923241,1.9759546013518177,5138.275946752009,10443.559779097259
3304557,Rio de Janeiro,Mangueira,18247,7471,0,0.0,0.7981310505179745,0.0,22862.160278262552
3304557,Rio de Janeiro,Manguinhos,28855,11934,0,0.0,2.618358251610299,0.0,11020.264313431548
3304557,Rio de Janeiro,Maracanã,23309,8850,0,0.0,1.6673066672416241,0.0,13980.031663018646
3304557,Rio de Janeiro,Marechal Hermes,41507,15954,8759,0.21102464644517793,3.886236031759654,2253.8517805965585,10680.51442598714
3304557,Rio de Janeiro,Maria da Graça,7209,2838,0,0.0,0.8249919345815359,0.0,8738.26724579635
3304557,Rio de Janeiro,Maré,124832,53049,57603,0.4614441809792361,4.268772775298343,13494.042206538892,29243.065061310397
3304557,Rio de Janeiro,Moneró,5723,2125,1566,0.27363271011707146,0.5205588780114124,3008.305239135059,10993.953310070205
3304557,Rio de Janeiro,Méier,39700,13958,36291,0.9141309823677581,2.4709397689129764,14687.124492704754,16066.76152104871
3304557,Rio de Janeiro,Olaria,51445,19747,18765,0.36475847993002236,3.689843104922397,5085.582087478664,13942.3272310333
3304557,Rio de Janeiro,Osvaldo Cruz,28086,10608,0,0.0,2.0711323748560204,0.0,13560.69768449854
3304557,Rio de Janeiro,Outside bairro polygons,107685,43961,20377,0.18922784046060268,1200.1251904818278,16.97906198587417,89.72813907586298
3304557,Rio de Janeiro,Paciência,103879,42353,20384,0.1962283040845599,27.41804417493751,743.4520080988402,3788.7093381720674
3304557,Rio de Janeiro,Padre Miguel,62488,24490,22166,0.3547241070285495,4.865804920093231,4555.464175817244,12842.273997043578
3304557,Rio de Janeiro,Paquetá,3486,1170,1264,0.36259323006310956,1.705689117795563,741.0494601933069,2043.7487486027437
3304557,Rio de Janeiro,Parada de Lucas,22069,9219,0,0.0,2.064782676630118,0.0,10688.291920396332
3304557,Rio de Janeiro,Parque Anchieta,21552,8459,6316,0.2930586488492947,3.905800481979763,1617.0820883299602,5517.946986650934
3304557,Rio de Janeiro,Parque Colúmbia,8222,3255,4608,0.5604475796643152,1.5171385418064531,3037.29677483064,5419.412778354496
3304557,Rio de Janeiro,Pavuna,95337,38254,15377,0.16129099929722981,8.311428030125501,1850.103248715469,11470.592015528819
3304557,Rio de Janeiro,Pechincha,37008,14655,14879,0.402048205793342,2.8309231734890066,5255.882653170765,13072.767338432936
3304557,Rio de Janeiro,Pedra de Guaratiba,11950,4711,2897,0.24242677824267783,3.6369218821668374,796.5527151421794,3285.7455802378477
3304557,Rio de Janeiro,Penha,58460,22975,33852,0.5790626069107082,5.811338820740189,5825.1637091241355,10059.644051618721
3304557,Rio de Janeiro,Penha Circular,36725,14278,33287,0.9063852961198094,4.623394363947785,7199.688665878196,7943.298172090508
3304557,Rio de Janeiro,Piedade,37330,14652,3739,0.1001607286364854,3.8871107471258535,961.8969572103478,9603.533942942573
3304557,Rio de Janeiro,Pilares,23518,9051,5342,0.22714516540522153,1.8364249576357414,2908.912764329571,12806.404041838796
3304557,Rio de Janeiro,Pitangueiras,10566,4154,3672,0.3475298126064736,0.6041313949107068,6078.1479508157945,17489.572780043487
3304557,Rio de Janeiro,Portuguesa,19831,7708,877,0.04422369018203822,1.186412649784906,739.20317703878,16715.094873268015
3304557,Rio de Janeiro,Praia da Bandeira,6735,2693,0,0.0,0.3794069293360567,0.0,17751.389021244067
3304557,Rio de Janeiro,Praça Seca,64103,25205,10108,0.1576837277506513,6.499994823193653,1555.078161590538,9862.007854416132
3304557,Rio de Janeiro,Praça da Bandeira,7215,2788,101484,14.065696465696465,0.7199116299830961,140967.3017817241,10022.063402655978
