municipality,bairro,population
Queimados,Centro,23389
Queimados,Industrial,526
Queimados,Leste,6386
Queimados,Nordeste,24347
Queimados,Norte,22037
Queimados,Oeste,54384
Queimados,Sul,11093
Rio Claro,Rio Claro,67
Rio de Janeiro,Abolição,9196
Rio de Janeiro,Acari,29673
Rio de Janeiro,Alto da Boa Vista,8079
Rio de Janeiro,Anchieta,52569
Rio de Janeiro,Andaraí,34576
Rio de Janeiro,Anil,31895
Rio de Janeiro,Bancários,11907
Rio de Janeiro,Bangu,209302
Rio de Janeiro,Barra da Tijuca,151603
Rio de Janeiro,Barra de Guaratiba,5091
Rio de Janeiro,Barros Filho,20444
Rio de Janeiro,Benfica,22661
Rio de Janeiro,Bento Ribeiro,37306
Rio de Janeiro,Bonsucesso,16872
Rio de Janeiro,Botafogo,76728
Rio de Janeiro,Brás de Pina,45048
Rio de Janeiro,Cachambi,39022
Rio de Janeiro,Cacuia,10765
Rio de Janeiro,Caju,24116
Rio de Janeiro,Camorim,7037
Rio de Janeiro,Campinho,8579
Rio de Janeiro,Campo Grande,352356
Rio de Janeiro,Campo dos Afonsos,2106
Rio de Janeiro,Cascadura,26895
Rio de Janeiro,Catete,22295
Rio de Janeiro,Catumbi,12201
Rio de Janeiro,Cavalcanti,13799
Rio de Janeiro,Centro,23774
Rio de Janeiro,Cidade Nova,4745
Rio de Janeiro,Cidade Universitária,1303
Rio de Janeiro,Cidade de Deus,30576
Rio de Janeiro,Cocotá,5021
Rio de Janeiro,Coelho Neto,26780
Rio de Janeiro,Colégio,26358
Rio de Janeiro,Complexo do Alemão,54500
Rio de Janeiro,Copacabana,128919
Rio de Janeiro,Cordovil,34668
Rio de Janeiro,Cosme Velho,6408
Rio de Janeiro,Cosmos,97570
Rio de Janeiro,Costa Barros,26272
Rio de Janeiro,Curicica,29038
Rio de Janeiro,Del Castilho,20597
Rio de Janeiro,Deodoro,10402
Rio de Janeiro,Encantado,12405
Rio de Janeiro,Engenheiro Leal,5200
Rio de Janeiro,Engenho Novo,39424
Rio de Janeiro,Engenho da Rainha,24188
Rio de Janeiro,Engenho de Dentro,42826
Rio de Janeiro,Estácio,23260
Rio de Janeiro,Flamengo,43099
Rio de Janeiro,Freguesia (Ilha do Governador),21360
Rio de Janeiro,Freguesia (Jacarepaguá),75912
Rio de Janeiro,Galeão,23498
Rio de Janeiro,Gamboa,11416
Rio de Janeiro,Gardênia Azul,20490
Rio de Janeiro,Gericinó,23130
