group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
89,3304557,Rio de Janeiro,Irajá,86197,23934,10589.13,13345.17,RAIS 2023 neighborhood shares + CEMPRE 2024,23930,-4,42898,9416.0,2997653
90,3304557,Rio de Janeiro,Itanhangá,68537,14808,4753.64,10054.05,RAIS 2023 neighborhood shares + CEMPRE 2024,14806,-2,34110,4227.0,2997653
91,3304557,Rio de Janeiro,Jacarepaguá,177969,53782,25653.0,28129.27,RAIS 2023 neighborhood shares + CEMPRE 2024,53777,-5,88573,22811.0,2997653
92,3304557,Rio de Janeiro,Jacarezinho,35458,6434,1394.49,5039.74,RAIS 2023 neighborhood shares + CEMPRE 2024,6432,-2,17649,1240.0,2997653
93,3304557,Rio de Janeiro,Jacaré,7727,10127,7877.75,2248.95,RAIS 2023 neighborhood shares + CEMPRE 2024,10120,-7,3847,7005.0,2997653
94,3304557,Rio de Janeiro,Jardim América,20244,6726,3445.74,3279.88,RAIS 2023 neighborhood shares + CEMPRE 2024,6738,12,10076,3064.0,2997653
95,3304557,Rio de Janeiro,Jardim Botânico,14619,18488,14321.64,4166.36,RAIS 2023 neighborhood shares + CEMPRE 2024,18490,2,7275,12735.0,2997653
96,3304557,Rio de Janeiro,Jardim Carioca,20374,7282,3913.57,3368.66,RAIS 2023 neighborhood shares + CEMPRE 2024,7286,4,10139,3480.0,2997653
97,3304557,Rio de Janeiro,Jardim Guanabara,27084,11662,6922.97,4739.49,RAIS 2023 neighborhood shares + CEMPRE 2024,11661,-1,13480,6156.0,2997653
98,3304557,Rio de Janeiro,Jardim Sulacap,13651,5660,3299.54,2359.98,RAIS 2023 neighborhood shares + CEMPRE 2024,5676,16,6794,2934.0,2997653
99,3304557,Rio de Janeiro,Joá,983,709,499.32,209.7,RAIS 2023 neighborhood shares + CEMPRE 2024,702,-7,489,444.0,2997653
100,3304557,Rio de Janeiro,Lagoa,18181,10251,6749.78,3500.97,RAIS 2023 neighborhood shares + CEMPRE 2024,10248,-3,9049,6002.0,2997653
101,3304557,Rio de Janeiro,Laranjeiras,39982,24800,16803.61,7996.81,RAIS 2023 neighborhood shares + CEMPRE 2024,24784,-16,19899,14942.0,2997653
102,3304557,Rio de Janeiro,Leblon,37709,34570,25552.91,9016.6,RAIS 2023 neighborhood shares + CEMPRE 2024,34576,6,18769,22722.0,2997653
103,3304557,Rio de Janeiro,Leme,12244,4044,2063.62,1980.64,RAIS 2023 neighborhood shares + CEMPRE 2024,4027,-17,6094,1835.0,2997653
104,3304557,Rio de Janeiro,Lins de Vasconcelos,30910,6046,1594.67,4450.91,RAIS 2023 neighborhood shares + CEMPRE 2024,6048,2,15383,1418.0,2997653
105,3304557,Rio de Janeiro,Madureira,38455,36213,26891.17,9321.49,RAIS 2023 neighborhood shares + CEMPRE 2024,36218,5,19138,23912.0,2997653
106,3304557,Rio de Janeiro,Magalhães Bastos,20636,4335,1323.64,3010.85,RAIS 2023 neighborhood shares + CEMPRE 2024,4332,-3,10271,1177.0,2997653
107,3304557,Rio de Janeiro,Mangueira,18247,3624,989.64,2634.82,RAIS 2023 neighborhood shares + CEMPRE 2024,3628,4,9082,880.0,2997653
108,3304557,Rio de Janeiro,Manguinhos,28855,7859,3412.0,4447.21,RAIS 2023 neighborhood shares + CEMPRE 2024,7857,-2,14361,3034.0,2997653
109,3304557,Rio de Janeiro,Maracanã,23309,35679,28218.19,7460.86,RAIS 2023 neighborhood shares + CEMPRE 2024,35701,22,11600,25092.0,2997653
110,3304557,Rio de Janeiro,Marechal Hermes,41507,9132,3021.77,6110.59,RAIS 2023 neighborhood shares + CEMPRE 2024,9135,3,20658,2687.0,2997653
111,3304557,Rio de Janeiro,Maria da Graça,7209,4922,3421.0,1501.31,RAIS 2023 neighborhood shares + CEMPRE 2024,4914,-8,3588,3042.0,2997653
112,3304557,Rio de Janeiro,Maré,124832,19888,2510.08,17378.18,RAIS 2023 neighborhood shares + CEMPRE 2024,19853,-35,62128,2232.0,2997653
113,3304557,Rio de Janeiro,Moneró,5723,2023,1079.61,943.25,RAIS 2023 neighborhood shares + CEMPRE 2024,2028,5,2848,960.0,2997653
114,3304557,Rio de Janeiro,Méier,38796,37476,27947.16,9528.36,RAIS 2023 neighborhood shares + CEMPRE 2024,37489,13,19309,24851.0,2997653
115,3304557,Rio de Janeiro,Olaria,60871,25205,14686.01,10519.28,RAIS 2023 neighborhood shares + CEMPRE 2024,25203,-2,30294,13059.0,2997653
116,3304557,Rio de Janeiro,Osvaldo Cruz,27980,8764,4300.43,4463.05,RAIS 2023 neighborhood shares + CEMPRE 2024,8756,-8,13926,3824.0,2997653
117,3304557,Rio de Janeiro,Paciência,103240,22591,7408.79,15182.52,RAIS 2023 neighborhood shares + CEMPRE 2024,22588,-3,51379,6588.0,2997653
118,3304557,Rio de Janeiro,Padre Miguel,61112,15521,6250.47,9270.49,RAIS 2023 neighborhood shares + CEMPRE 2024,15539,18,30416,5558.0,2997653
119,3304557,Rio de Janeiro,Paquetá,4185,729,138.32,590.83,RAIS 2023 neighborhood shares + CEMPRE 2024,708,-21,2082,123.0,2997653
120,3304557,Rio de Janeiro,Parada de Lucas,22069,8363,4651.3,3711.53,RAIS 2023 neighborhood shares + CEMPRE 2024,8370,7,10985,4136.0,2997653
121,3304557,Rio de Janeiro,Parque Anchieta,21552,3815,764.72,3050.65,RAIS 2023 neighborhood shares + CEMPRE 2024,3823,8,10726,680.0,2997653
122,3304557,Rio de Janeiro,Parque Colúmbia,8222,7437,5484.62,1952.76,RAIS 2023 neighborhood shares + CEMPRE 2024,7426,-11,4092,4877.0,2997653
123,3304557,Rio de Janeiro,Pavuna,95831,34626,18732.28,15894.1,RAIS 2023 neighborhood shares + CEMPRE 2024,34622,-4,47690,16657.0,2997653
124,3304557,Rio de Janeiro,Pechincha,33428,27394,19829.88,7564.21,RAIS 2023 neighborhood shares + CEMPRE 2024,27393,-1,16637,17633.0,2997653
125,3304557,Rio de Janeiro,Pedra de Guaratiba,12250,3693,1757.73,1934.98,RAIS 2023 neighborhood shares + CEMPRE 2024,3696,3,6097,1563.0,2997653
126,3304557,Rio de Janeiro,Penha,58516,32275,21101.79,11173.37,RAIS 2023 neighborhood shares + CEMPRE 2024,32284,9,29122,18764.0,2997653
127,3304557,Rio de Janeiro,Penha Circular,36725,29741,21477.4,8263.43,RAIS 2023 neighborhood shares + CEMPRE 2024,29740,-1,18276,19098.0,2997653
128,3304557,Rio de Janeiro,Piedade,37330,10907,5056.15,5850.94,RAIS 2023 neighborhood shares + CEMPRE 2024,10908,1,18579,4496.0,2997653
129,3304557,Rio de Janeiro,Pilares,23746,9997,5871.48,4125.25,RAIS 2023 neighborhood shares + CEMPRE 2024,10013,16,11817,5221.0,2997653
130,3304557,Rio de Janeiro,Pitangueiras,10566,1730,253.03,1477.08,RAIS 2023 neighborhood shares + CEMPRE 2024,1659,-71,5259,225.0,2997653
131,3304557,Rio de Janeiro,Portuguesa,19831,6265,3094.87,3170.34,RAIS 2023 neighborhood shares + CEMPRE 2024,6265,0,9869,2752.0,2997653
132,3304557,Rio de Janeiro,Praia da Bandeira,5153,1533,721.99,811.31,RAIS 2023 neighborhood shares + CEMPRE 2024,1533,0,2565,642.0,2997653
